ID,item_cnt_month
0,0.7067956
1,0.5071924
2,1.2554739
3,0.5810672
4,1.9296588
5,0.7737993
6,0.77914166
7,0.14946938
8,0.50471705
9,0.89133674
10,2.8549662
11,0.3251389
12,0.1535584
13,0.46580425
14,1.7935237
15,2.5730448
16,0.12299037
17,0.1830998
18,1.3598043
19,0.36939526
20,0.40278193
21,0.35623085
22,1.9110796
23,0.5768877
24,1.5200361
25,0.87311625
26,0.6732751
27,0.7443304
28,1.0399685
29,3.768624
30,0.9275256
31,1.2000397
32,1.0053283
33,1.0713135
34,0.10548931
35,0.12876701
36,0.11209637
37,1.2759134
38,0.23106426
39,0.17621142
40,0.7089327
41,1.5932888
42,3.848413
43,4.7211943
44,1.2180598
45,0.4092884
46,1.11786
47,0.48040152
48,0.6556973
49,0.773967
50,1.2716285
51,0.5660691
52,0.43681067
53,0.51181793
54,5.5777874
55,1.9634509
56,1.6881415
57,1.7257537
58,3.3460436
59,1.9885626
60,3.4227233
61,0.35234094
62,0.40108806
63,0.45706868
64,4.6210947
65,0.5071924
66,0.61410314
67,0.1355609
68,0.44537526
69,0.13637099
70,0.5071924
71,1.5786742
72,0.3940344
73,0.98120594
74,5.855586
75,5.367672
76,0.3127385
77,5.264232
78,0.53516746
79,0.90423614
80,1.7267109
81,2.795915
82,1.345711
83,0.24195567
84,1.0096123
85,0.72531813
86,0.60258424
87,0.07512173
88,2.0633585
89,1.1056035
90,0.8013807
91,0.7870426
92,2.0326204
93,0.19395617
94,0.67276293
95,0.082068175
96,0.09078583
97,0.41043636
98,0.6165434
99,1.5766729
100,1.0973868
101,1.0485986
102,0.39725012
103,0.93504506
104,0.20984524
105,0.62245893
106,0.48535413
107,0.89775854
108,0.15477672
109,0.5071924
110,0.38429624
111,0.85357034
112,0.7885221
113,1.4870188
114,0.33056247
115,0.45594037
116,0.73734045
117,0.12073806
118,9.899328
119,0.16101149
120,0.17389432
121,0.21979785
122,0.38549274
123,0.37580985
124,0.4615517
125,0.99802506
126,0.42964375
127,0.17032
128,0.43134785
129,0.2660944
130,0.34194124
131,0.089915186
132,1.0297
133,4.3249445
134,0.13595718
135,3.4420674
136,0.7651585
137,0.640708
138,1.3186283
139,0.8817256
140,0.29132307
141,0.37709653
142,0.12857464
143,0.56954974
144,0.25237748
145,0.25237748
146,0.25237748
147,0.08626172
148,0.5071924
149,0.14916289
150,0.090031
151,0.8212658
152,5.28674
153,0.29132688
154,0.08935958
155,0.21619657
156,0.19282055
157,0.2682969
158,0.14122733
159,0.24622455
160,0.94468766
161,0.250579
162,0.61125
163,0.6195875
164,0.53183025
165,0.13957006
166,0.38401955
167,0.07709062
168,0.5156281
169,0.1583614
170,0.2463046
171,0.5871004
172,0.14093938
173,1.9486625
174,1.5227587
175,2.4428449
176,1.3230582
177,0.749117
178,0.24867243
179,0.22405171
180,1.601246
181,0.21178105
182,0.16343793
183,0.17916268
184,0.17482251
185,0.08044711
186,0.14946938
187,0.13584808
188,0.47506833
189,0.47506833
190,0.40830913
191,0.63601065
192,0.83849776
193,0.17099285
194,0.3115096
195,0.2328209
196,0.63539326
197,2.6590004
198,1.5159681
199,2.1684163
200,0.02452916
201,2.1684163
202,0.159823
203,1.265779
204,0.13938448
205,0.27376062
206,0.27693093
207,0.2179558
208,1.7590503
209,0.5508378
210,0.21893284
211,0.11258885
212,0.07305947
213,0.2623411
214,0.09572503
215,0.2604034
216,0.30065644
217,0.15182763
218,1.354629
219,0.63212144
220,0.23798773
221,3.718434
222,2.1684163
223,1.1029633
224,2.3895736
225,0.4524994
226,0.6934929
227,0.22432068
228,0.28965837
229,0.33693224
230,5.4944077
231,0.71562195
232,0.11935687
233,0.21116605
234,0.10310826
235,0.10544306
236,0.35861272
237,0.58351433
238,0.45193362
239,0.41130185
240,0.39137307
241,0.10635233
242,0.15612414
243,3.718434
244,0.5071924
245,0.28845507
246,1.5624862
247,0.6799283
248,0.55912024
249,0.14577821
250,0.6061995
251,0.3591288
252,0.51787025
253,1.0973768
254,0.633048
255,4.8243885
256,0.7238897
257,0.22291657
258,0.2697572
259,0.18638518
260,0.08632085
261,0.13442084
262,0.23293397
263,0.054147124
264,0.12803823
265,0.6601854
266,0.09388816
267,0.23848718
268,0.45207977
269,0.27241898
270,1.6890553
271,0.22500378
272,0.15266573
273,0.93593013
274,12.72583
275,0.18979606
276,0.17162752
277,1.0893579
278,0.39815325
279,0.52067554
280,0.27497363
281,0.1546556
282,0.17419353
283,0.61549294
284,0.40106463
285,0.18661624
286,0.11720067
287,0.9047297
288,0.17814395
289,0.25890502
290,0.084439725
291,0.18246159
292,0.40142655
293,0.099469006
294,0.5867543
295,1.2254245
296,0.3959334
297,0.32506928
298,0.09247339
299,0.44649056
300,0.23114032
301,0.8903967
302,0.95622796
303,0.49859574
304,0.10579139
305,0.11106503
306,0.28927708
307,0.2152533
308,0.22459361
309,0.8375541
310,0.6937482
311,0.5369639
312,0.72531456
313,0.33294427
314,0.04472485
315,0.87943155
316,0.3107847
317,2.0211215
318,0.10042012
319,0.17579854
320,0.48535413
321,0.087371916
322,0.8068557
323,0.1461078
324,0.41923302
325,0.4881887
326,0.17526126
327,0.21892461
328,0.3227856
329,0.2456474
330,0.19975558
331,0.124513745
332,0.12753811
333,0.26005733
334,0.5728464
335,0.21973723
336,0.25815833
337,0.5034683
338,0.19546506
339,0.63341117
340,0.11152488
341,0.16333178
